model_type,name,train_sec,quant_sec,ftz_path,ftz_kb,target_scam,target_topic,thr_scam,thr_topic,calib_scam_fpr,calib_topic_fpr,holdout_scam_precision,holdout_scam_recall,holdout_scam_fpr,holdout_topic_precision,holdout_topic_recall,holdout_topic_fpr,holdout_micro_f1,holdout_macro_f1,holdout_exact
single,single_nochar_ng2,1.21,1.16,/tmp/janitr_postsplit_bakeoff/single_nochar_ng2.ftz,165.9,0.08,0.2,0.0012165895896032453,0.001108730910345912,0.04242424242424243,0.1981981981981982,0.782608695652174,0.72,0.06097560975609756,0.7642276422764228,0.9215686274509803,0.25892857142857145,0.8055009823182712,0.7944759653270291,0.7523364485981309
single,single_nochar_ng2,1.21,1.16,/tmp/janitr_postsplit_bakeoff/single_nochar_ng2.ftz,165.9,0.1,0.03,0.0012165895896032453,1.0,0.04242424242424243,1.0,0.782608695652174,0.72,0.06097560975609756,0.9411764705882353,0.6274509803921569,0.03571428571428571,0.7689243027888446,0.7636922565636423,0.7102803738317757
single,single_nochar_ng2,1.21,1.16,/tmp/janitr_postsplit_bakeoff/single_nochar_ng2.ftz,165.9,0.1,0.1,0.0012165895896032453,0.8634016513824463,0.04242424242424243,0.09009009009009009,0.782608695652174,0.72,0.06097560975609756,0.8791208791208791,0.7843137254901961,0.09821428571428571,0.8079207920792079,0.7979434529520885,0.7523364485981309
single,single_nochar_ng2,1.21,1.16,/tmp/janitr_postsplit_bakeoff/single_nochar_ng2.ftz,165.9,0.1,0.2,0.0012165895896032453,0.001108730910345912,0.04242424242424243,0.1981981981981982,0.782608695652174,0.72,0.06097560975609756,0.7642276422764228,0.9215686274509803,0.25892857142857145,0.8055009823182712,0.7944759653270291,0.7523364485981309
single,single_char_ng1,4.33,1.21,/tmp/janitr_postsplit_bakeoff/single_char_ng1.ftz,158.3,0.02,0.03,0.21734751760959625,1.0000100135803223,0.01818181818181818,0.02702702702702703,0.825,0.66,0.042682926829268296,0.8902439024390244,0.7156862745098039,0.08035714285714286,0.796812749003984,0.7837909992372235,0.7429906542056075
single,single_char_ng1,4.33,1.21,/tmp/janitr_postsplit_bakeoff/single_char_ng1.ftz,158.3,0.02,0.1,0.21734751760959625,0.7826725244522095,0.01818181818181818,0.07207207207207207,0.825,0.66,0.042682926829268296,0.8461538461538461,0.8627450980392157,0.14285714285714285,0.8316831683168316,0.8131256355068311,0.7757009345794392
single,single_char_ng1,4.33,1.21,/tmp/janitr_postsplit_bakeoff/single_char_ng1.ftz,158.3,0.02,0.2,0.21734751760959625,0.7826725244522095,0.01818181818181818,0.07207207207207207,0.825,0.66,0.042682926829268296,0.8461538461538461,0.8627450980392157,0.14285714285714285,0.8316831683168316,0.8131256355068311,0.7757009345794392
single,single_char_ng1,4.33,1.21,/tmp/janitr_postsplit_bakeoff/single_char_ng1.ftz,158.3,0.05,0.03,0.011341754347085953,1.0000100135803223,0.030303030303030304,0.02702702702702703,0.7954545454545454,0.7,0.054878048780487805,0.8902439024390244,0.7156862745098039,0.08035714285714286,0.7992047713717693,0.788275259533354,0.7383177570093458
single,single_char_ng1,4.33,1.21,/tmp/janitr_postsplit_bakeoff/single_char_ng1.ftz,158.3,0.05,0.1,0.011341754347085953,0.7826725244522095,0.030303030303030304,0.07207207207207207,0.7954545454545454,0.7,0.054878048780487805,0.8461538461538461,0.8627450980392157,0.14285714285714285,0.8323471400394478,0.8164304429987949,0.7757009345794392
single,single_char_ng1,4.33,1.21,/tmp/janitr_postsplit_bakeoff/single_char_ng1.ftz,158.3,0.05,0.2,0.011341754347085953,0.7826725244522095,0.030303030303030304,0.07207207207207207,0.7954545454545454,0.7,0.054878048780487805,0.8461538461538461,0.8627450980392157,0.14285714285714285,0.8323471400394478,0.8164304429987949,0.7757009345794392
single,single_char_ng1,4.33,1.21,/tmp/janitr_postsplit_bakeoff/single_char_ng1.ftz,158.3,0.08,0.03,0.011341754347085953,1.0000100135803223,0.030303030303030304,0.02702702702702703,0.7954545454545454,0.7,0.054878048780487805,0.8902439024390244,0.7156862745098039,0.08035714285714286,0.7992047713717693,0.788275259533354,0.7383177570093458
single,single_char_ng1,4.33,1.21,/tmp/janitr_postsplit_bakeoff/single_char_ng1.ftz,158.3,0.08,0.1,0.011341754347085953,0.7826725244522095,0.030303030303030304,0.07207207207207207,0.7954545454545454,0.7,0.054878048780487805,0.8461538461538461,0.8627450980392157,0.14285714285714285,0.8323471400394478,0.8164304429987949,0.7757009345794392
single,single_char_ng1,4.33,1.21,/tmp/janitr_postsplit_bakeoff/single_char_ng1.ftz,158.3,0.08,0.2,0.011341754347085953,0.7826725244522095,0.030303030303030304,0.07207207207207207,0.7954545454545454,0.7,0.054878048780487805,0.8461538461538461,0.8627450980392157,0.14285714285714285,0.8323471400394478,0.8164304429987949,0.7757009345794392
single,single_char_ng1,4.33,1.21,/tmp/janitr_postsplit_bakeoff/single_char_ng1.ftz,158.3,0.1,0.03,0.011341754347085953,1.0000100135803223,0.030303030303030304,0.02702702702702703,0.7954545454545454,0.7,0.054878048780487805,0.8902439024390244,0.7156862745098039,0.08035714285714286,0.7992047713717693,0.788275259533354,0.7383177570093458
single,single_char_ng1,4.33,1.21,/tmp/janitr_postsplit_bakeoff/single_char_ng1.ftz,158.3,0.1,0.1,0.011341754347085953,0.7826725244522095,0.030303030303030304,0.07207207207207207,0.7954545454545454,0.7,0.054878048780487805,0.8461538461538461,0.8627450980392157,0.14285714285714285,0.8323471400394478,0.8164304429987949,0.7757009345794392
single,single_char_ng1,4.33,1.21,/tmp/janitr_postsplit_bakeoff/single_char_ng1.ftz,158.3,0.1,0.2,0.011341754347085953,0.7826725244522095,0.030303030303030304,0.07207207207207207,0.7954545454545454,0.7,0.054878048780487805,0.8461538461538461,0.8627450980392157,0.14285714285714285,0.8323471400394478,0.8164304429987949,0.7757009345794392
