combo,s1_train_sec,s2_train_sec,target_scam,target_topic,thr_scam,thr_topic,calib_scam_fpr,calib_topic_fpr,holdout_scam_precision,holdout_scam_recall,holdout_scam_fpr,holdout_topic_precision,holdout_topic_recall,holdout_topic_fpr,holdout_micro_f1,holdout_macro_f1,holdout_exact
s1_nochar__s2_char,12.0,22.36,0.1,0.2,1.0,0.0695517510175705,1.0,0.2,0.8484848484848485,0.5490196078431373,0.0625,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9043478260869566,0.8758086663552328,0.7633587786259542
s1_nochar__s2_ng1,12.0,18.31,0.02,0.03,1.0,1.0000100135803223,1.0,0.022222222222222223,0.8484848484848485,0.5490196078431373,0.0625,1.0,0.39520958083832336,0.0,0.6575342465753424,0.6558550906056272,0.5458015267175572
s1_nochar__s2_ng1,12.0,18.31,0.02,0.1,1.0,0.9984612464904785,1.0,0.08888888888888889,0.8484848484848485,0.5490196078431373,0.0625,1.0,0.5209580838323353,0.0,0.7117117117117117,0.7073992800080319,0.5954198473282443
s1_nochar__s2_ng1,12.0,18.31,0.02,0.2,1.0,0.06372499465942383,1.0,0.2,0.8484848484848485,0.5490196078431373,0.0625,0.9761904761904762,0.9820359281437125,0.042105263157894736,0.9014492753623188,0.8730110587880562,0.7595419847328244
s1_nochar__s2_ng1,12.0,18.31,0.05,0.03,1.0,1.0000100135803223,1.0,0.022222222222222223,0.8484848484848485,0.5490196078431373,0.0625,1.0,0.39520958083832336,0.0,0.6575342465753424,0.6558550906056272,0.5458015267175572
s1_nochar__s2_ng1,12.0,18.31,0.05,0.1,1.0,0.9984612464904785,1.0,0.08888888888888889,0.8484848484848485,0.5490196078431373,0.0625,1.0,0.5209580838323353,0.0,0.7117117117117117,0.7073992800080319,0.5954198473282443
s1_nochar__s2_ng1,12.0,18.31,0.05,0.2,1.0,0.06372499465942383,1.0,0.2,0.8484848484848485,0.5490196078431373,0.0625,0.9761904761904762,0.9820359281437125,0.042105263157894736,0.9014492753623188,0.8730110587880562,0.7595419847328244
s1_nochar__s2_ng1,12.0,18.31,0.08,0.03,1.0,1.0000100135803223,1.0,0.022222222222222223,0.8484848484848485,0.5490196078431373,0.0625,1.0,0.39520958083832336,0.0,0.6575342465753424,0.6558550906056272,0.5458015267175572
s1_nochar__s2_ng1,12.0,18.31,0.08,0.1,1.0,0.9984612464904785,1.0,0.08888888888888889,0.8484848484848485,0.5490196078431373,0.0625,1.0,0.5209580838323353,0.0,0.7117117117117117,0.7073992800080319,0.5954198473282443
s1_nochar__s2_ng1,12.0,18.31,0.08,0.2,1.0,0.06372499465942383,1.0,0.2,0.8484848484848485,0.5490196078431373,0.0625,0.9761904761904762,0.9820359281437125,0.042105263157894736,0.9014492753623188,0.8730110587880562,0.7595419847328244
s1_nochar__s2_ng1,12.0,18.31,0.1,0.03,1.0,1.0000100135803223,1.0,0.022222222222222223,0.8484848484848485,0.5490196078431373,0.0625,1.0,0.39520958083832336,0.0,0.6575342465753424,0.6558550906056272,0.5458015267175572
s1_nochar__s2_ng1,12.0,18.31,0.1,0.1,1.0,0.9984612464904785,1.0,0.08888888888888889,0.8484848484848485,0.5490196078431373,0.0625,1.0,0.5209580838323353,0.0,0.7117117117117117,0.7073992800080319,0.5954198473282443
s1_nochar__s2_ng1,12.0,18.31,0.1,0.2,1.0,0.06372499465942383,1.0,0.2,0.8484848484848485,0.5490196078431373,0.0625,0.9761904761904762,0.9820359281437125,0.042105263157894736,0.9014492753623188,0.8730110587880562,0.7595419847328244
